车牌号：鲁CF2927;发动机号：71041633;VIN码：GX030049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,发生时间,存储时间,转速(转/分),GPS车速(公里/时),GPS方向,GPS海拔,GPS经度,GPS纬度,GPS里程(公里),PTO开关,车辆加速限值状态,怠速油耗,发动机控制设备源地址,发动机扭矩模式,发动机油温,发动机制动控制设备,风扇驱动状态,负载百分比,环境温度,环境压力,机油压力,进气歧管温度,进气歧管压力,空调开关,空调压力风扇开关,冷却剂温度,离合器状态,里程(km),脉冲车速(km/h),扭矩,平均油耗,请求风扇转速,刹车状态 ,实际制动器扭矩百分比,瞬时油耗,巡航控制状态,巡航使用油耗,油耗,油门位置,制动器扭矩模式,驻车制动,总油耗
1,2017/3/9 14:10,2017/3/9 14:10,0,,正北,,,,,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
2,2017/3/9 14:10,2017/3/9 14:10,0,,正北,,,,,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
3,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
4,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
5,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
6,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
7,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
8,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
9,2017/3/9 14:10,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
10,2017/3/9 14:09,2017/3/9 14:10,0,0,正北,3,120.315003,37.663696,112582,,限制未激活,,0,其他,,15,风扇关闭,0（%）,,,,,0( kPa),0,压力正常,,0,112582,0,0（%）,,0.00(%),0,0(%),0（L/h）,关闭/未激活,,,0.00(%),0, 驻车制动有效,
