"id","symbol","period","open_time","close_time","open","close","high","low","volume","quote_asset_volume","num_trades","first_id","last_id","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","create_time","update_time","event_time","receive_time"
"1406887863735300098","BTCUSDT","1m","1624263120000","1624263179999","33008.86","33130","33148","33008.85","1170.112","38716000.89146","10476","1045203494","1045213969","791.251","26181477.36135","21/6/2021 08:13:00","21/6/2021 08:13:00","1624263180015","1624263180085"
"1406887613175967746","BTCUSDT","1m","1624263060000","1624263119999","33023.1","33008.86","33027.37","33003.85","435.166","14366529.78359","3795","1045199699","1045203493","199.243","6577898.25676","21/6/2021 08:12:00","21/6/2021 08:12:00","1624263120095","1624263120347"
"1406887360662089730","BTCUSDT","1m","1624263000000","1624263059999","33039.89","33023.09","33044.76","32989.31","785.477","25929120.57272","5805","1045193894","1045199698","362.535","11967364.21831","21/6/2021 08:11:00","21/6/2021 08:11:00","1624263060132","1624263060143"
"1406887109167427585","BTCUSDT","1m","1624262940000","1624262999999","32973","33039.64","33093.09","32970.34","1066.339","35217181.73684","7971","1045185923","1045193893","685.159","22628956.53044","21/6/2021 08:10:00","21/6/2021 08:10:00","1624263000030","1624263000182"
"1406886858184470529","BTCUSDT","1m","1624262880000","1624262939999","32998.5","32973.66","33011.06","32971.75","437.406","14430697.51768","4217","1045181706","1045185922","228.102","7525507.9472","21/6/2021 08:09:00","21/6/2021 08:09:00","1624262940064","1624262940342"
"1406886605670592513","BTCUSDT","1m","1624262820000","1624262879999","33020.01","32998.5","33038","32958.53","1222.175","40348814.70975","9568","1045172138","1045181705","608.745","20097579.60896","21/6/2021 08:08:00","21/6/2021 08:08:00","1624262880016","1624262880138"
"1406886353471287298","BTCUSDT","1m","1624262760000","1624262819999","32882.91","33020.01","33030","32882.91","1221.739","40294149.46565","8111","1045164027","1045172137","897.708","29608499.81503","21/6/2021 08:07:00","21/6/2021 08:07:00","1624262820004","1624262820009"
"1406886101917904897","BTCUSDT","1m","1624262700000","1624262759999","32895.38","32882.91","32903.2","32850","409.709","13469716.79159","3843","1045160184","1045164026","199.134","6546645.81341","21/6/2021 08:06:00","21/6/2021 08:06:00","1624262760027","1624262760034"
"1406885851153051650","BTCUSDT","1m","1624262640000","1624262699999","32898.38","32895.38","32960","32892.14","530.142","17455537.05662","5057","1045155127","1045160183","256.242","8436897.59142","21/6/2021 08:05:00","21/6/2021 08:05:00","1624262700039","1624262700248"
"1406885599188627457","BTCUSDT","1m","1624262580000","1624262639999","32837.91","32898.37","32930","32803","815.745","26805911.54652","7864","1045147263","1045155126","469.707","15436325.46507","21/6/2021 08:04:00","21/6/2021 08:04:00","1624262640053","1624262640175"
"1406885347261952003","BTCUSDT","1m","1624262520000","1624262579999","32908.41","32837.92","32931.01","32810.38","1607.153","52804101.21845","13637","1045133626","1045147262","729.125","23954515.91104","21/6/2021 08:03:00","21/6/2021 08:03:00","1624262580019","1624262580111"
"1406885095192711169","BTCUSDT","1m","1624262460000","1624262519999","33011.96","32908.41","33019.99","32893.56","1100.804","36286921.74321","8754","1045124872","1045133625","384.015","12658993.6331","21/6/2021 08:02:00","21/6/2021 08:02:00","1624262520008","1624262520012"
"1406884843576373250","BTCUSDT","1m","1624262400000","1624262459999","32985.72","33010","33035.54","32930","1280.076","42215718.63567","8338","1045116534","1045124871","873.937","28827054.72154","21/6/2021 08:01:00","21/6/2021 08:01:00","1624262460016","1624262460023"
"1406884595621703682","BTCUSDT","1m","1624262340000","1624262399999","32965.73","32985.72","32999","32936.12","663.92","21893787.22587","5078","1045111456","1045116533","402.969","13289083.49245","21/6/2021 08:00:00","21/6/2021 08:00:00","1624262400042","1624262400906"
"1406884340821929985","BTCUSDT","1m","1624262280000","1624262339999","32940","32965.73","32999","32925","703.917","23209793.89451","6038","1045105418","1045111455","382.669","12617534.72586","21/6/2021 07:59:00","21/6/2021 07:59:00","1624262340153","1624262340157"
